id	theme	file	title	tags	cpts	params
opamp-noninverting-amplifier	05_opamps	sch/05_opamps/opamp-noninverting-amplifier.sch	Opamp no inversor	cpt:e, cpt:i, cpt:p, cpt:r, cpt:v, cpt:w, curricular:tcii, etiqueta, opamp, visibilidad-nodos	e,i,p,r,v,w	down,draw_nodes,l,label_nodes,right
opamp-noninverting-amplifier	05_opamps	sch/05_opamps/opamp-noninverting-amplifier__1.sch	Opamp no inversor	cpt:e, cpt:p, cpt:r, cpt:w, curricular:tcii, opamp	e,p,r,w	down,right
opamp-noninverting-amplifier-noisy	05_opamps	sch/05_opamps/opamp-noninverting-amplifier-noisy.sch	Opamp noninverting amplifier noisy	cpt:e, cpt:i, cpt:p, cpt:r, cpt:v, cpt:w, curricular:tcii, etiqueta, opamp, visibilidad-nodos	e,i,p,r,v,w	down,draw_nodes,l,label_nodes,right
opamp-noninverting-amplifier1	05_opamps	sch/05_opamps/opamp-noninverting-amplifier1.sch	Opamp noninverting amplifier1	cpt:e, cpt:p, cpt:r, cpt:v, cpt:w, curricular:tcii, etiquetas-globales, opamp, visibilidad-nodos	e,p,r,v,w	down,draw_nodes,label_ids,label_nodes,right
opamp-noninverting-amplifier2	05_opamps	sch/05_opamps/opamp-noninverting-amplifier2.sch	Opamp noninverting amplifier2	cpt:e, cpt:p, cpt:r, cpt:v, cpt:w, curricular:tcii, etiquetas-globales, opamp, visibilidad-nodos	e,p,r,v,w	down,draw_nodes,label_ids,label_nodes,right
opamp-piezo-amplifier1	05_opamps	sch/05_opamps/opamp-piezo-amplifier1.sch	Opamp piezo amplifier1	cpt:c, cpt:e, cpt:i, cpt:p, cpt:r, cpt:v, cpt:w, curricular:tcii, etiqueta-v, opamp, visibilidad-nodos	c,e,i,p,r,v,w	down,draw_nodes,label_nodes,right,v
opamp-piezo-amplifier2	05_opamps	sch/05_opamps/opamp-piezo-amplifier2.sch	Opamp piezo amplifier2	cpt:c, cpt:e, cpt:i, cpt:p, cpt:r, cpt:v, cpt:w, curricular:tcii, etiqueta-v, opamp, visibilidad-nodos	c,e,i,p,r,v,w	down,draw_nodes,label_nodes,right,v
opamp-test1	05_opamps	sch/05_opamps/opamp-test1.sch	Opamp test1	cpt:e, curricular:tcii, grilla, opamp, visibilidad-nodos	e	draw_nodes,help_lines,right
opamp-transimpedance-amplifier-with-voltage-gain1	05_opamps	sch/05_opamps/opamp-transimpedance-amplifier-with-voltage-gain1.sch	Opamp transimpedance amplifier with voltage gain1	cpt:e, cpt:r, cpt:w, curricular:tcii, etiquetas-globales, opamp, tierra, visibilidad-nodos	e,r,w	0V,down,draw_nodes,label_ids,label_nodes,right
opamp-transimpedance-amplifier1	05_opamps	sch/05_opamps/opamp-transimpedance-amplifier1.sch	Opamp transimpedance amplifier1	cpt:e, cpt:i, cpt:p, cpt:r, cpt:w, curricular:tcii, espejo, etiquetas-globales, opamp, visibilidad-nodos	e,i,p,r,w	down,draw_nodes,flipud,label_ids,label_nodes,right,up
opamp-transimpedance-amplifier2	05_opamps	sch/05_opamps/opamp-transimpedance-amplifier2.sch	Opamp transimpedance amplifier2	cpt:c, cpt:e, cpt:i, cpt:p, cpt:r, cpt:v, cpt:w, curricular:tcii, espejo, opamp, visibilidad-nodos	c,e,i,p,r,v,w	down,draw_nodes,mirror,right,up
opamp-voltage-follower-c-load	05_opamps	sch/05_opamps/opamp-voltage-follower-C-load.sch	Opamp voltage follower C load	cpt:c, cpt:e, cpt:p, cpt:w, curricular:tcii, espejo, opamp	c,e,p,w	down,mirror,right,up
opamp-voltage-follower-c-load-model1	05_opamps	sch/05_opamps/opamp-voltage-follower-C-load-model1.sch	Opamp voltage follower C load model1	cpt:c, cpt:e, cpt:r, cpt:w, curricular:tcii, opamp	c,e,r,w	down,right
opamp-voltage-follower-c-load-open-loop	05_opamps	sch/05_opamps/opamp-voltage-follower-C-load-open-loop.sch	Opamp voltage follower C load open loop	cpt:c, cpt:e, cpt:p, cpt:w, curricular:tcii, espejo, opamp, tierra	c,e,p,w	0V,down,mirror,right
opamp-voltage-follower-rc-load	05_opamps	sch/05_opamps/opamp-voltage-follower-RC-load.sch	Opamp voltage follower RC load	cpt:c, cpt:e, cpt:p, cpt:r, cpt:w, curricular:tcii, espejo, opamp	c,e,p,r,w	down,mirror,right,up
opamp-voltage-follower-rc-load-model1	05_opamps	sch/05_opamps/opamp-voltage-follower-RC-load-model1.sch	Opamp voltage follower RC load model1	cpt:c, cpt:e, cpt:r, cpt:w, curricular:tcii, opamp	c,e,r,w	down,right
opamp-voltage-follower-rc-load-open-loop	05_opamps	sch/05_opamps/opamp-voltage-follower-RC-load-open-loop.sch	Opamp voltage follower RC load open loop	cpt:c, cpt:e, cpt:p, cpt:r, cpt:w, curricular:tcii, espejo, opamp, tierra	c,e,p,r,w	0V,down,mirror,right
opamp-voltage-follower-rc-load-open-loop1	05_opamps	sch/05_opamps/opamp-voltage-follower-RC-load-open-loop1.sch	Opamp voltage follower RC load open loop1	cpt:c, cpt:e, cpt:p, cpt:r, cpt:w, curricular:tcii, espejo, opamp, tierra	c,e,p,r,w	0V,down,mirror,right
opamp1	05_opamps	sch/05_opamps/opamp1.sch	Opamp1	cpt:e, curricular:tcii, grilla, opamp	e	help_lines,right
opamp2	05_opamps	sch/05_opamps/opamp2.sch	Opamp2	cpt:e, curricular:tcii, geometria-global, grilla, opamp	e	help_lines,right,scale,size
opamp3	05_opamps	sch/05_opamps/opamp3.sch	Opamp3	cpt:e, curricular:tcii, geometria-global, grilla, opamp	e	help_lines,right,scale
opamp4	05_opamps	sch/05_opamps/opamp4.sch	Opamp4	cpt:e, curricular:tcii, geometria-global, grilla, opamp	e	help_lines,right,scale
opamp5	05_opamps	sch/05_opamps/opamp5.sch	Opamp5	cpt:e, cpt:r, curricular:tcii, grilla, opamp	e,r	down,help_lines,right
opamp6	05_opamps	sch/05_opamps/opamp6.sch	Opamp6	cpt:e, cpt:r, cpt:w, curricular:tcii, geometria-global, grilla, opamp	e,r,w	down,help_lines,left,right,scale,up
opamp7	05_opamps	sch/05_opamps/opamp7.sch	Opamp7	cpt:e, cpt:r, cpt:w, curricular:tcii, grilla, opamp	e,r,w	down,help_lines,left,right,up
opamp8	05_opamps	sch/05_opamps/opamp8.sch	Opamp8	cpt:e, cpt:r, cpt:w, curricular:tcii, geometria-global, grilla, opamp	e,r,w	down,help_lines,left,right,scale,up
opamp9	05_opamps	sch/05_opamps/opamp9.sch	Opamp9	cpt:e, cpt:r, cpt:w, curricular:tcii, geometria-global, grilla, opamp	e,r,w	down,help_lines,left,right,scale,up
opamps	05_opamps	sch/05_opamps/opamps.sch	Opamps	cpt:e, cpt:o, curricular:tcii, espejo, opamp, pines, visibilidad-nodos	e,o	label_nodes,mirror,pinnames,pinnodes,right
opampup	05_opamps	sch/05_opamps/opampup.sch	Opampup	cpt:e, curricular:tcii, opamp	e	up
sallen-key-lpf1	05_opamps	sch/05_opamps/sallen-key-lpf1.sch	Sallen key lpf1	cpt:c, cpt:e, cpt:p, cpt:r, cpt:w, curricular:tcii, espejo, etiqueta-v, geometria-global, grilla, opamp, visibilidad-nodos	c,e,p,r,w	down,draw_nodes,help_lines,label_nodes,mirror,right,scale,size,up,v^,v_
sallen-key-lpf2	05_opamps	sch/05_opamps/sallen-key-lpf2.sch	Sallen key lpf2	cpt:c, cpt:e, cpt:p, cpt:r, cpt:w, curricular:tcii, espejo, etiqueta-v, grilla, opamp, visibilidad-nodos	c,e,p,r,w	down,draw_nodes,help_lines,mirror,right,up,v,v_
ufdopamp	05_opamps	sch/05_opamps/Ufdopamp.sch	Ufdopamp	cpt:u, curricular:tcii, etiqueta, grilla, opamp, pines	u	help_lines,l,pinnames,pinnodes,right
ufdopamps	05_opamps	sch/05_opamps/Ufdopamps.sch	Ufdopamps	cpt:o, cpt:u, curricular:tcii, espejo, opamp, pines, visibilidad-nodos	o,u	label_nodes,mirror,pinnames,pinnodes,right
uinamp	05_opamps	sch/05_opamps/Uinamp.sch	Uinamp	cpt:u, curricular:tcii, etiqueta, grilla, opamp, pines	u	help_lines,l,pinnames,pinnodes,right
uisoamp	05_opamps	sch/05_opamps/Uisoamp.sch	Uisoamp	cpt:u, curricular:tcii, etiqueta, grilla, opamp, pines	u	help_lines,l,pinnames,pinnodes,right
uopamp	05_opamps	sch/05_opamps/Uopamp.sch	Uopamp	cpt:u, curricular:tcii, etiqueta, grilla, opamp, pines	u	help_lines,l,pinnames,pinnodes,right
uopamp1	05_opamps	sch/05_opamps/Uopamp1.sch	Uopamp1	cpt:u, cpt:w, curricular:tcii, opamp	u,w	right
uopamp-comparison	05_opamps	sch/05_opamps/Uopamp_comparison.sch	Uopamp comparison	cpt:o, cpt:u, curricular:tcii, etiqueta, grilla, opamp, pines	o,u	help_lines,l,pinlabels,pinnames,pinnodes,right
uopamp-mirror	05_opamps	sch/05_opamps/Uopamp_mirror.sch	Uopamp mirror	cpt:o, cpt:u, curricular:tcii, espejo, grilla, opamp, pines	o,u	help_lines,mirror,mirrorinputs,pinnames,pinnodes,right
uopamps	05_opamps	sch/05_opamps/Uopamps.sch	Uopamps	cpt:o, cpt:u, curricular:tcii, espejo, opamp, pines, visibilidad-nodos	o,u	label_nodes,mirror,pinnames,pinnodes,right
bh-mag	06_magneticos	sch/06_magneticos/BH-mag.sch	BH mag	cpt:c, cpt:d, cpt:l, cpt:m, cpt:o, cpt:v, cpt:w, curricular:tcii, estilo, etiqueta, etiqueta-i, etiqueta-v, geometria-global, kind, kind:nfet, magnetico, visibilidad-nodos	c,d,l,m,o,v,w	bodydiode,color,down,draw_nodes,i>_,kind,l,label_nodes,right,scale,v
gy1	06_magneticos	sch/06_magneticos/GY1.sch	GY1	cpt:gy, curricular:tcii, magnetico	gy	right
ideal-tf1	06_magneticos	sch/06_magneticos/ideal-tf1.sch	Ideal tf1	convencion, cpt:p, cpt:tf, cpt:w, curricular:tcii, estilo-simbolo, etiqueta, etiqueta-f, etiqueta-v, etiquetas-globales, magnetico, visibilidad-nodos	p,tf,w	down,draw_nodes,f,f<,l,label_nodes,label_style,right,style,v,voltage_dir
ideal-tf1-model1	06_magneticos	sch/06_magneticos/ideal-tf1-model1.sch	Ideal tf1 model1	anotacion, convencion, cpt:e, cpt:f, cpt:o, cpt:p, cpt:w, curricular:tcii, estilo-simbolo, etiqueta, etiqueta-f, etiqueta-v, etiquetas-globales, magnetico, visibilidad-nodos	e,f,o,p,w	a,down,draw_nodes,f,f<,l,label_nodes,label_style,right,style,v,voltage_dir
ideal-tf1-model2	06_magneticos	sch/06_magneticos/ideal-tf1-model2.sch	Ideal tf1 model2	anotacion, convencion, cpt:e, cpt:f, cpt:o, cpt:p, cpt:w, curricular:tcii, estilo-simbolo, etiqueta, etiqueta-f, etiqueta-v, etiquetas-globales, magnetico, visibilidad-nodos	e,f,o,p,w	a,down,draw_nodes,f,f<,l,label_nodes,label_style,right,style,v,voltage_dir
k1	06_magneticos	sch/06_magneticos/K1.sch	Acoplamiento mutuo	cpt:k, cpt:l, curricular:tcii, etiquetas-globales, magnetico	k,l	down,label_ids,size
